"Target_Symbol"	"Target_ID"	"Target_Name"	"Associated_Disease_Count"	"Tractability_Count"	"sm_approved"	"sm_advancedClinical"	"sm_phase1"	"ab_approved"	"ab_advancedClinical"	"ab_phase1"	"pr_approved"	"pr_advancedClinical"	"pr_phase1"	"oc_approved"	"oc_advancedClinical"	"oc_phase1"	"Subcellular_Location"	"Safety_Liabilities"	"Number_Unique_Drugs"	"Target_in_Pathways"	"num_Approved_Drugs"	"num_Phase3"	"num_Phase2"	"num_Phase1"	"num_Phase4"	"Weighted_Score"
"PIK3CA"	"ENSG00000121879"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	900	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytosol"	2	32	1	3	3	3	0	3	950.5
"CD44"	"ENSG00000026508"	"CD44 molecule (Indian blood group)"	939	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	1	2	0	0	0	1	0	944.5
"CCND1"	"ENSG00000110092"	"cyclin D1"	937	3	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	1	2	0	0	0	1	0	941.5
"RPL17"	"ENSG00000265681"	"ribosomal protein L17"	927	4	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	3	2	1	0	2	0	1	941
"CASP3"	"ENSG00000164305"	"caspase 3"	930	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	2	1	1	0	0	1	0	0	934
"NCAM1"	"ENSG00000149294"	"neural cell adhesion molecule 1"	912	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	2	2	0	0	2	0	0	921
"NOS2"	"ENSG00000007171"	"nitric oxide synthase 2"	885	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	3	1	0	2	1	0	0	898
"PGR"	"ENSG00000082175"	"progesterone receptor"	799	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	4	26	1	9	0	0	0	9	850
"FGF2"	"ENSG00000138685"	"fibroblast growth factor 2"	825	5	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Secreted"	0	1	1	0	1	0	0	0	833.5
"CXCL10"	"ENSG00000169245"	"C-X-C motif chemokine ligand 10"	817	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	1	2	1	0	0	2	0	0	823
"MAPK3"	"ENSG00000102882"	"mitogen-activated protein kinase 3"	810	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	2	5	3	0	0	2	3	0	821.5
"MUC1"	"ENSG00000185499"	"mucin 1, cell surface associated"	805	4	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Apical cell membrane"	0	4	1	0	1	3	0	0	818.5
"IL13"	"ENSG00000169194"	"interleukin 13"	797	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	7	1	0	3	3	0	0	814.5
"IL1A"	"ENSG00000115008"	"interleukin 1 alpha"	809	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	2	1	0	1	1	0	0	814.5
"TUBB4A"	"ENSG00000104833"	"tubulin beta 4A class IVa"	719	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	59	1	10	0	0	0	10	813
"SRC"	"ENSG00000197122"	"SRC proto-oncogene, non-receptor tyrosine kinase"	758	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	1	11	1	4	0	0	0	4	786
"PPARA"	"ENSG00000186951"	"peroxisome proliferator activated receptor alpha"	754	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	12	25	1	7	0	0	0	7	782
"MAPK8"	"ENSG00000107643"	"mitogen-activated protein kinase 8"	767	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	3	2	0	0	3	0	0	780
"IL33"	"ENSG00000137033"	"interleukin 33"	769	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	3	1	0	1	2	0	0	778.5
"CCR2"	"ENSG00000121807"	"C-C motif chemokine receptor 2"	752	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	10	1	0	1	7	0	0	777.5
"CSF1R"	"ENSG00000182578"	"colony stimulating factor 1 receptor"	733	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	1	19	1	6	0	0	0	6	775
"IL2RA"	"ENSG00000134460"	"interleukin 2 receptor subunit alpha"	751	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Membrane"	0	8	1	4	0	0	0	4	773
"HMGB1"	"ENSG00000189403"	"high mobility group box 1"	767	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Nucleus"	0	1	1	0	1	0	0	0	772.5
"FLT3"	"ENSG00000122025"	"fms related receptor tyrosine kinase 3"	692	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Membrane"	0	39	1	11	0	0	0	11	771
"MDM2"	"ENSG00000135679"	"MDM2 proto-oncogene"	753	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	3	2	0	1	2	0	0	766.5
"ITGB2"	"ENSG00000160255"	"integrin subunit beta 2"	751	7	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	2	1	1	0	1	0	1	765
"ABL1"	"ENSG00000097007"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	700	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	2	24	2	8	2	0	0	8	754
"CDK4"	"ENSG00000135446"	"cyclin dependent kinase 4"	708	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	17	1	6	0	0	0	6	749
"CREBBP"	"ENSG00000005339"	"CREB binding protein"	741	4	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	1	1	0	0	1	0	0	748
"CD40"	"ENSG00000101017"	"CD40 molecule"	713	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"[Isoform I]: Cell membrane"	1	9	1	0	0	7	1	0	729.5
"APP"	"ENSG00000142192"	"amyloid beta precursor protein"	690	7	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	11	1	1	7	2	0	1	724.5
"PTPN11"	"ENSG00000179295"	"protein tyrosine phosphatase non-receptor type 11"	714	4	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	1	1	2	0	0	0	1	0	719.5
"MMP1"	"ENSG00000196611"	"matrix metallopeptidase 1"	700	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	3	5	1	2	0	0	0	2	712
"IL5"	"ENSG00000113525"	"interleukin 5"	699	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	2	1	2	0	0	0	2	710
"TNFRSF1A"	"ENSG00000067182"	"TNF receptor superfamily member 1A"	710	4	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	7	1	1	0	0	0	1	0	702.5
"JAK1"	"ENSG00000162434"	"Janus kinase 1"	641	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Endomembrane system"	0	19	3	7	0	0	0	7	688
"JAK3"	"ENSG00000105639"	"Janus kinase 3"	657	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Endomembrane system"	0	13	1	3	2	0	0	3	688
"HGF"	"ENSG00000019991"	"hepatocyte growth factor"	675	4	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"No data"	1	2	1	0	1	1	0	0	682.5
"TERT"	"ENSG00000164362"	"telomerase reverse transcriptase"	672	2	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Nucleus"	0	2	1	0	1	1	0	0	679.5
"IFNB1"	"ENSG00000171855"	"interferon beta 1"	666	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Secreted"	0	1	2	0	0	1	0	0	673
"IL6ST"	"ENSG00000134352"	"interleukin 6 cytokine family signal transducer"	665	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	1	1	1	0	0	0	1	673
"LYN"	"ENSG00000254087"	"LYN proto-oncogene, Src family tyrosine kinase"	652	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	1	9	2	2	0	0	0	2	672
"CSF1"	"ENSG00000184371"	"colony stimulating factor 1"	667	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	1	2	1	0	0	2	0	0	672
"NR3C2"	"ENSG00000151623"	"nuclear receptor subfamily 3 group C member 2"	629	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	3	16	1	5	0	0	0	5	660
"TNFSF11"	"ENSG00000120659"	"TNF superfamily member 11"	645	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	1	1	1	0	0	0	1	651
"PRKDC"	"ENSG00000253729"	"protein kinase, DNA-activated, catalytic subunit"	629	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	1	1	0	0	1	0	0	636
"CCR5"	"ENSG00000160791"	"C-C motif chemokine receptor 5"	603	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	14	1	1	5	0	0	1	634.5
"BCL2L1"	"ENSG00000171552"	"BCL2 like 1"	622	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform Bcl-X(L)]: Mitochondrion inner membrane"	0	3	1	0	3	0	0	0	634.5
"WEE1"	"ENSG00000166483"	"WEE1 G2 checkpoint kinase"	605	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	1	3	0	0	1	0	0	615
"MMP3"	"ENSG00000149968"	"matrix metallopeptidase 3"	605	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	2	1	1	0	1	0	0	0	610.5
"HLA-DRB1"	"ENSG00000196126"	"major histocompatibility complex, class II, DR beta 1"	597	4	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	3	2	0	1	2	0	0	609.5
"DNMT3A"	"ENSG00000119772"	"DNA methyltransferase 3 alpha"	596	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	2	1	2	0	0	0	2	609
"IL6R"	"ENSG00000160712"	"interleukin 6 receptor"	586	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	1	5	1	3	0	0	0	3	602
"DNMT1"	"ENSG00000130816"	"DNA methyltransferase 1"	584	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	2	1	2	0	0	0	2	598
"IL15"	"ENSG00000164136"	"interleukin 15"	594	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform IL15-S48AA]: Secreted"	0	1	1	0	0	1	0	0	598
"PIK3R1"	"ENSG00000145675"	"phosphoinositide-3-kinase regulatory subunit 1"	553	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytosol"	0	24	1	0	3	8	0	0	595.5
